###data used for project

year,global_avg_temp,city_avg_temp
1820,7.62,18.83
1821,8.09,20.75
1822,8.19,25.48
1823,7.72,19.34
1824,8.55,19.90
1825,8.39,20.15
1826,8.36,19.87
1827,8.81,20.52
1828,8.17,20.02
1829,7.94,19.71
1830,8.52,20.39
1831,7.64,18.96
1832,7.45,19.55
1833,8.01,20.03
1834,8.15,20.22
1835,7.39,18.35
1836,7.70,18.75
1837,7.38,19.34
1838,7.51,18.52
1839,7.63,19.38
1840,7.80,19.50
1841,7.69,19.54
1842,8.02,19.81
1843,8.17,19.56
1844,7.65,19.69
1845,7.85,19.43
1846,8.55,20.00
1847,8.09,19.15
1848,7.98,19.38
1849,7.98,19.96
1850,7.90,19.77
1851,8.18,19.86
1852,8.10,19.60
1853,8.04,18.96
1854,8.21,19.53
1855,8.11,19.23
1856,8.00,19.03
1857,7.76,19.47
1858,8.10,19.68
1859,8.25,20.01
1860,7.96,19.99
1861,7.85,20.30
1862,7.56,20.26
1863,8.11,19.83
1864,7.98,19.40
1865,8.18,19.87
1866,8.29,19.82
1867,8.44,20.62
1868,8.25,19.67
1869,8.43,19.24
1870,8.20,19.91
1871,8.12,20.24
1872,8.19,19.52
1873,8.35,19.44
1874,8.43,20.15
1875,7.86,19.59
1876,8.08,19.63
1877,8.54,19.38
1878,8.83,19.72
1879,8.17,20.35
1880,8.12,19.41
1881,8.27,19.81
1882,8.13,19.90
1883,7.98,19.85
1884,7.77,19.64
1885,7.92,19.26
1886,7.95,19.25
1887,7.91,19.74
1888,8.09,19.14
1889,8.32,19.29
1890,7.97,20.17
1891,8.02,19.36
1892,8.07,19.65
1893,8.06,19.94
1894,8.16,20.02
1895,8.15,19.02
1896,8.21,20.23
1897,8.29,20.02
1898,8.18,19.51
1899,8.40,19.50
1900,8.50,19.64
1901,8.54,19.73
1902,8.30,20.38
1903,8.22,18.58
1904,8.09,19.85
1905,8.23,19.28
1906,8.38,19.60
1907,7.95,20.63
1908,8.19,20.33
1909,8.18,20.54
1910,8.22,20.23
1911,8.18,20.57
1912,8.17,19.20
1913,8.30,19.12
1914,8.59,19.19
1915,8.59,19.85
1916,8.23,20.50
1917,8.02,19.88
1918,8.13,19.92
1919,8.38,19.08
1920,8.36,19.56
1921,8.57,20.91
1922,8.41,20.37
1923,8.42,20.10
1924,8.51,19.37
1925,8.53,20.51
1926,8.73,19.65
1927,8.52,21.23
1928,8.63,19.98
1929,8.24,19.69
1930,8.63,19.53
1931,8.72,20.17
1932,8.71,19.78
1933,8.34,21.39
1934,8.63,20.91
1935,8.52,20.35
1936,8.55,19.35
1937,8.70,19.96
1938,8.86,20.65
1939,8.76,20.67
1940,8.76,19.31
1941,8.77,19.94
1942,8.73,19.81
1943,8.76,20.03
1944,8.85,19.86
1945,8.58,20.47
1946,8.68,20.37
1947,8.80,19.82
1948,8.75,20.32
1949,8.59,20.23
1950,8.37,20.74
1951,8.63,20.76
1952,8.64,20.06
1953,8.87,20.61
1954,8.56,21.37
1955,8.63,20.72
1956,8.28,20.93
1957,8.73,20.18
1958,8.77,19.39
1959,8.73,19.52
1960,8.58,19.47
1961,8.80,19.66
1962,8.75,20.55
1963,8.86,20.47
1964,8.41,20.20
1965,8.53,20.23
1966,8.60,19.58
1967,8.70,20.34
1968,8.52,19.15
1969,8.60,19.95
1970,8.70,19.55
1971,8.60,20.82
1972,8.50,20.10
1973,8.95,19.66
1974,8.47,19.93
1975,8.74,19.93
1976,8.35,19.04
1977,8.85,20.30
1978,8.69,19.55
1979,8.73,19.14
1980,8.98,20.30
1981,9.17,20.32
1982,8.64,20.39
1983,9.03,19.20
1984,8.69,20.62
1985,8.66,20.07
1986,8.83,20.56
1987,8.99,19.73
1988,9.20,20.28
1989,8.92,19.99
1990,9.23,20.93
1991,9.18,20.22
1992,8.84,20.07
1993,8.87,19.72
1994,9.04,20.50
1995,9.35,20.35
1996,9.04,20.78
1997,9.20,19.73
1998,9.52,21.35
1999,9.29,21.35
2000,9.20,21.12
2001,9.41,20.35
2002,9.57,20.30
2003,9.53,20.37
2004,9.32,20.45
2005,9.70,20.90
2006,9.53,21.56
2007,9.73,19.98
2008,9.43,20.91
2009,9.51,21.06
2010,9.70,20.10
2011,9.52,21.66
2012,9.51,21.56
2013,9.61,22.18
